CAxisLocation_0,CAxisLocation_1,CAxisLocation_2
0.85943764,-0.50347,0.088797487
0.83994818,-0.53838205,0.068058476
0.81779444,-0.57326734,0.050762367
0.79318243,-0.60785294,0.037102129
0.76633996,-0.64185792,0.027231634
0.7375164,-0.67499447,0.021263745
0.70697546,-0.7069757,0.019266784
0.67499459,-0.73751628,0.02126373
0.64185762,-0.7663402,0.027231656
0.60785306,-0.79318231,0.037102081
0.57326752,-0.81779438,0.05076234
0.53838223,-0.83994806,0.068058454
0.50346977,-0.85943776,0.088797495
0.82783335,-0.55366665,0.090251312
0.8067804,-0.58679479,0.069118559
0.78293461,-0.61997139,0.05146803
0.75650513,-0.65291119,0.037511092
0.7277289,-0.68531668,0.027417401
0.69686443,-0.71688622,0.021310864
0.66418976,-0.74731576,0.019266723
0.62999737,-0.77630484,0.021310778
0.59458822,-0.80356282,0.027417382
0.55826718,-0.8288129,0.037511148
0.52133846,-0.85179651,0.051468
0.48409945,-0.87227887,0.069118507
0.4468374,-0.89005113,0.090251356
0.79330802,-0.6019029,0.091516763
0.77093542,-0.63304836,0.070060104
0.745619,-0.66433227,0.052104663
0.71757185,-0.69545341,0.037884563
0.68703836,-0.72609729,0.027588401
0.65428907,-0.755943,0.021354213
0.6196174,-0.78466749,0.019266814
0.58333391,-0.81195176,0.021354197
0.54575872,-0.83748811,0.027588397
0.50721788,-0.8609848,0.037884522
0.46803486,-0.88217264,0.052104656
0.42852724,-0.90080857,0.070060059
0.38899845,-0.91668153,0.091516711
0.73246843,-0.67710197,0.070871919
0.70593911,-0.70631164,0.052667562
0.67650205,-0.7354483,0.0382207
0.64440989,-0.76417685,0.027744183
0.60994703,-0.79215342,0.021394296
0.57342535,-0.8190313,0.019266754
0.53517652,-0.84446925,0.021394299
0.49554586,-0.86813849,0.027744206
0.45488292,-0.88973075,0.038220745
0.41353697,-0.90896285,0.052667536
0.37184811,-0.92558426,0.07087186
0.69140124,-0.71892071,0.071536638
0.66396159,-0.74587554,0.053149354
0.63339865,-0.77286649,0.038517438
0.5999735,-0.79953378,0.027884344
0.56398702,-0.82550561,0.021430401
0.52577281,-0.85040689,0.019266754
0.48568991,-0.87386847,0.021430466
0.44411376,-0.89553642,0.027884342
0.40142596,-0.9150812,0.038517389
0.35800663,-0.9322052,0.053149384
0.31422493,-0.94664949,0.071536645
0.64770281,-0.75848079,0.072027624
0.61971915,-0.7829954,0.053538896
0.58834422,-0.80768067,0.038770683
0.55384803,-0.83214664,0.028008142
0.51654959,-0.8559882,0.02146332
0.47681171,-0.87879425,0.019266723
0.43502831,-0.90016103,0.021463305
0.39161408,-0.91970325,0.028008183
0.34699351,-0.93706584,0.038770664
0.30158681,-0.95193434,0.053538863
0.25580171,-0.96404231,0.072027661
0.60126281,-0.79577363,0.072301462
0.57319283,-0.81765139,0.053817082
0.54139102,-0.83986712,0.03897449
0.50613505,-0.86199594,0.028114283
0.46776798,-0.88358998,0.021492125
0.42668802,-0.9041937,0.019266784
0.38333768,-0.9233582,0.021492073
0.33818614,-0.94065922,0.028114172
0.29171413,-0.95571119,0.038974453
0.2444001,-0.96817994,0.053817052
0.19670174,-0.97779393,0.072301582
0.55183214,-0.83081669,0.072284333
0.52427518,-0.84983802,0.053951915
0.49254212,-0.86940908,0.039118156
0.45691532,-0.88906312,0.028200584
0.4177658,-0.90829992,0.021517215
0.37554312,-0.92660463,0.019266844
0.33075529,-0.94347125,0.021517245
0.2839511,-0.95842397,0.028200593
0.23569518,-0.97103947,0.039118137
0.18654533,-0.98096389,0.053951923
0.13703392,-0.98792547,0.072284274
0.52020949,-0.8490206,0.092445575
0.49891058,-0.86367071,0.071841598
0.4726969,-0.87957621,0.053883918
